-81163.7	20
-81109.9	19
-81056.2	20
-81002.5	35
-80948.9	25
-80895.3	26
-80841.8	19
-80788.4	18
-80735	31
-80681.7	34
-80628.4	19
-80575.2	25
-80522.1	31
-80469	15
-80415.9	27
-80363	27
-80310	16
-80257.2	31
-80204.4	23
-80151.6	31
-80098.9	21
-80046.3	26
-79993.7	11
-79941.2	15
-79888.7	41
-79836.3	44
-79783.9	13
-79731.6	21
-79679.4	23
-79627.2	40
-79575	22
-79522.9	22
-79470.9	6
-79418.9	21
-79367	30
-79315.2	19
-79263.3	21
-79211.6	15
-79159.9	20
-79108.3	39
-79056.7	23
-79005.1	36
-78953.6	9
-78902.2	-2
-78850.9	27
-78799.5	13
-78748.3	44
-78697.1	36
-78645.9	17
-78594.8	23
-78543.8	32
-78492.8	22
-78441.8	28
-78390.9	34
-78340.1	17
-78289.3	36
-78238.6	27
-78187.9	10
-78137.3	35
-78086.7	22
-78036.2	24
-77985.8	17
-77935.3	31
-77885	43
-77834.7	25
-77784.4	34
-77734.2	24
-77684.1	35
-77634	25
-77583.9	24
-77534	19
-77484	16
-77434.1	35
-77384.3	28
-77334.5	24
-77284.8	37
-77235.1	24
-77185.5	19
-77135.9	10
-77086.4	36
-77036.9	0
-76987.5	18
-76938.1	45
-76888.8	41
-76839.5	30
-76790.3	24
-76741.1	27
-76692	30
-76642.9	32
-76593.9	9
-76545	20
-76496	23
-76447.2	35
-76398.4	22
-76349.6	40
-76300.9	28
-76252.2	3
-76203.6	17
-76155	31
-76106.5	20
-76058.1	24
-76009.6	15
-75961.3	4
-75913	15
-75864.7	34
-75816.5	38
-75768.3	15
-75720.2	26
-75672.1	9
-75624.1	7
-75576.1	31
-75528.2	13
-75480.3	37
-75432.5	24
-75384.7	37
-75337	1
-75289.3	16
-75241.7	20
-75194.1	14
-75146.6	26
-75099.1	24
-75051.6	32
-75004.2	6
-74956.9	55
-74909.6	35
-74862.4	20
-74815.2	26
-74768	33
-74720.9	27
-74673.8	27
-74626.8	40
-74579.9	23
-74533	38
-74486.1	31
-74439.3	37
-74392.5	20
-74345.8	23
-74299.1	27
-74252.5	19
-74205.9	26
-74159.3	40
-74112.9	41
-74066.4	35
-74020	41
-73973.7	19
-73927.4	56
-73881.1	24
-73834.9	17
-73788.7	26
-73742.6	45
-73696.5	24
-73650.5	38
-73604.5	42
-73558.6	35
-73512.7	50
-73466.8	44
-73421	37
-73375.3	33
-73329.6	15
-73283.9	33
-73238.3	28
-73192.7	6
-73147.2	32
-73101.7	29
-73056.3	42
-73010.9	38
-72965.6	45
-72920.3	24
-72875	18
-72829.8	33
-72784.6	33
-72739.5	34
-72694.4	26
-72649.4	39
-72604.4	24
-72559.5	24
-72514.6	39
-72469.7	41
-72424.9	53
-72380.1	32
-72335.4	28
-72290.7	23
-72246.1	34
-72201.5	30
-72157	38
-72112.5	30
-72068	35
-72023.6	33
-71979.2	31
-71934.9	33
-71890.6	35
-71846.4	15
-71802.2	38
-71758	19
-71713.9	44
-71669.8	41
-71625.8	13
-71581.8	9
-71537.9	31
-71494	38
-71450.1	22
-71406.3	40
-71362.5	34
-71318.8	33
-71275.1	33
-71231.5	53
-71187.9	34
-71144.3	31
-71100.8	26
-71057.3	24
-71013.9	30
-70970.5	29
-70927.2	33
-70883.9	43
-70840.6	24
-70797.4	27
-70754.2	56
-70711.1	32
-70668	41
-70624.9	34
-70581.9	29
-70539	20
-70496	28
-70453.1	40
-70410.3	35
-70367.5	32
-70324.7	26
-70282	56
-70239.3	16
-70196.7	25
-70154.1	44
-70111.5	33
-70069	58
-70026.5	32
-69984.1	18
-69941.7	42
-69899.3	38
-69857	29
-69814.8	28
-69772.5	35
-69730.3	37
-69688.2	45
-69646.1	46
-69604	42
-69562	41
-69520	26
-69478	56
-69436.1	43
-69394.2	33
-69352.4	40
-69310.6	35
-69268.9	20
-69227.2	39
-69185.5	34
-69143.9	56
-69102.3	31
-69060.7	36
-69019.2	23
-68977.7	33
-68936.3	36
-68894.9	49
-68853.5	34
