-81163.7	27
-81109.9	14
-81056.2	20
-81002.5	25
-80948.9	35
-80895.3	7
-80841.8	27
-80788.4	34
-80735	20
-80681.7	33
-80628.4	15
-80575.2	33
-80522.1	15
-80469	22
-80415.9	14
-80363	41
-80310	18
-80257.2	15
-80204.4	21
-80151.6	15
-80098.9	30
-80046.3	33
-79993.7	-7
-79941.2	34
-79888.7	37
-79836.3	17
-79783.9	6
-79731.6	-8
-79679.4	9
-79627.2	10
-79575	20
-79522.9	17
-79470.9	18
-79418.9	18
-79367	37
-79315.2	38
-79263.3	32
-79211.6	17
-79159.9	23
-79108.3	30
-79056.7	27
-79005.1	22
-78953.6	30
-78902.2	19
-78850.9	5
-78799.5	19
-78748.3	23
-78697.1	19
-78645.9	27
-78594.8	26
-78543.8	31
-78492.8	27
-78441.8	51
-78390.9	39
-78340.1	31
-78289.3	9
-78238.6	23
-78187.9	31
-78137.3	21
-78086.7	31
-78036.2	10
-77985.8	13
-77935.3	21
-77885	34
-77834.7	31
-77784.4	31
-77734.2	28
-77684.1	38
-77634	23
-77583.9	21
-77534	23
-77484	30
-77434.1	27
-77384.3	27
-77334.5	38
-77284.8	23
-77235.1	11
-77185.5	21
-77135.9	27
-77086.4	35
-77036.9	23
-76987.5	27
-76938.1	46
-76888.8	35
-76839.5	17
-76790.3	27
-76741.1	45
-76692	25
-76642.9	21
-76593.9	6
-76545	15
-76496	22
-76447.2	18
-76398.4	30
-76349.6	33
-76300.9	23
-76252.2	39
-76203.6	35
-76155	27
-76106.5	24
-76058.1	15
-76009.6	35
-75961.3	29
-75913	27
-75864.7	22
-75816.5	27
-75768.3	29
-75720.2	34
-75672.1	37
-75624.1	23
-75576.1	25
-75528.2	32
-75480.3	33
-75432.5	28
-75384.7	23
-75337	54
-75289.3	36
-75241.7	26
-75194.1	30
-75146.6	21
-75099.1	39
-75051.6	20
-75004.2	27
-74956.9	39
-74909.6	26
-74862.4	19
-74815.2	10
-74768	29
-74720.9	53
-74673.8	35
-74626.8	21
-74579.9	33
-74533	20
-74486.1	34
-74439.3	29
-74392.5	30
-74345.8	36
-74299.1	28
-74252.5	31
-74205.9	42
-74159.3	35
-74112.9	34
-74066.4	22
-74020	33
-73973.7	13
-73927.4	43
-73881.1	29
-73834.9	39
-73788.7	18
-73742.6	32
-73696.5	53
-73650.5	38
-73604.5	31
-73558.6	35
-73512.7	32
-73466.8	48
-73421	31
-73375.3	41
